ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalTherms,AverageTherms
90232,12,2018,RESIDENTIAL,N,6892,258100,37.4492
90240,10,2018,COMMERCIAL,N,221,58731,265.7511
90240,10,2018,RESIDENTIAL,N,7689,164197,21.3548
90240,11,2018,COMMERCIAL,N,221,61792,279.6018
90240,11,2018,RESIDENTIAL,N,7689,216032,28.0962
90240,12,2018,COMMERCIAL,Y,2144,1249991,583.0182
90240,12,2018,RESIDENTIAL,N,7688,343056,44.6223
90241,10,2018,COMMERCIAL,Y,4051,2042485,504.1928
90241,10,2018,INDUSTRIAL,Y,,,
90241,10,2018,RESIDENTIAL,N,13569,277311,20.4371
90241,11,2018,COMMERCIAL,Y,5272,3575641,678.2324
90241,11,2018,INDUSTRIAL,Y,,,
90241,11,2018,RESIDENTIAL,N,13571,341908,25.1940
90241,12,2018,COMMERCIAL,Y,1093,518409,474.2992
90241,12,2018,INDUSTRIAL,Y,,,
90241,12,2018,RESIDENTIAL,N,13573,510639,37.6217
90242,10,2018,COMMERCIAL,Y,,,
90242,10,2018,INDUSTRIAL,Y,,,
90242,10,2018,RESIDENTIAL,N,11906,248085,20.8370
90242,11,2018,COMMERCIAL,Y,,,
90242,11,2018,INDUSTRIAL,Y,,,
90242,11,2018,RESIDENTIAL,N,11912,278728,23.3989
90242,12,2018,COMMERCIAL,Y,,,
90242,12,2018,INDUSTRIAL,Y,,,
90242,12,2018,RESIDENTIAL,N,11915,401253,33.6763
90245,10,2018,COMMERCIAL,Y,,,
90245,10,2018,RESIDENTIAL,N,7399,119798,16.1911
90245,11,2018,COMMERCIAL,Y,,,
90245,11,2018,RESIDENTIAL,N,7398,123721,16.7236
90245,12,2018,COMMERCIAL,Y,899,769039,855.4383
90245,12,2018,INDUSTRIAL,Y,,,
90245,12,2018,RESIDENTIAL,N,7398,195859,26.4746
90247,10,2018,COMMERCIAL,N,453,145153,320.4260
90247,10,2018,INDUSTRIAL,Y,,,
90247,10,2018,RESIDENTIAL,N,15447,281809,18.2436
90247,11,2018,COMMERCIAL,Y,861,412505,479.0999
90247,11,2018,INDUSTRIAL,Y,,,
