ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10224823,HY411707,9/5/2015 12:00,014XX N HALSTED ST,820,THEFT,$500 AND UNDER,STREET,TRUE,FALSE,1822,18,27,8,6,1170754,1909471,2015,2/10/2018 15:50,41.90706989,-87.64818226,"(41.90706989, -87.648182264)"
10224825,HY411703,9/5/2015 0:00,106XX S SAWYER AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2211,22,19,74,6,1156566,1833923,2015,2/10/2018 15:50,41.70005512,-87.70233824,"(41.700055116, -87.702338239)"
10224826,HY411749,9/5/2015 15:55,049XX W AINSLIE ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1623,16,45,12,5,1142367,1932122,2015,2/10/2018 15:50,41.96980126,-87.75189627,"(41.969801264, -87.751896265)"
10224829,HY411722,9/4/2015 17:00,062XX W GRAND AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,FALSE,2512,25,29,19,26,1134250,1914563,2015,2/10/2018 15:50,41.92176477,-87.78215838,"(41.921764773, -87.782158383)"
10224830,HY411557,9/4/2015 23:00,106XX S PRAIRIE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,512,5,9,49,26,1179798,1834481,2015,2/10/2018 15:50,41.70108778,-87.6172552,"(41.701087782, -87.617255204)"
10224831,HY411663,9/4/2015 21:45,015XX W RANDOLPH ST,460,BATTERY,SIMPLE,PARK PROPERTY,FALSE,FALSE,1224,12,27,28,08B,1166342,1901369,2015,2/10/2018 15:50,41.88493299,-87.66462131,"(41.884932988, -87.664621314)"
10224832,HY411712,9/4/2015 17:00,013XX W 50TH ST,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,TRUE,933,9,16,61,6,1168281,1871609,2015,2/10/2018 15:50,41.80322713,-87.65835991,"(41.803227125, -87.658359911)"
10224834,HY411767,9/5/2015 14:00,051XX S PAULINA ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,932,9,16,61,6,1165878,1870680,2015,2/10/2018 15:50,41.80072929,-87.66719926,"(41.800729285, -87.667199258)"
10224835,HY411770,9/5/2015 15:45,008XX S CALIFORNIA AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,ALLEY,TRUE,FALSE,1135,11,28,27,18,1157831,1896140,2015,2/10/2018 15:50,41.87076185,-87.69601766,"(41.870761846, -87.696017659)"
10224836,HY411752,9/5/2015 1:00,006XX N NOBLE ST,810,THEFT,OVER $500,APARTMENT,FALSE,FALSE,1215,12,27,24,6,1166947,1904303,2015,2/10/2018 15:50,41.89297114,-87.66231542,"(41.89297114, -87.662315415)"
